400 
 4.100000
P 0 0 0.78257 0.579957 0.982074 0.781918 0.560519 0.908192 91 190
P 1 0 0.676785 0.646479 0.60936 0.634898 0.691783 0.659246 78 171
P 2 0 0.778442 0.666221 0.325465 0.838886 0.642318 0.362783 150 83
P 3 0 0.823198 0.6769 0.599041 0.862181 0.629998 0.642116 152 195
P 4 0 0.675952 0.665397 0.743859 0.648701 0.697251 0.672218 182 171
P 5 0 0.403406 0.553441 0.484538 0.482203 0.555514 0.509329 80 146
P 6 0 0.847079 0.468031 0.96686 0.784462 0.435419 0.92418 161 105
P 7 0 0.556455 0.524492 0.514159 0.597493 0.535435 0.446518 59 86
P 8 0 0.741808 0.701985 0.759744 0.71247 0.632978 0.769582 29 38
P 9 0 0.571715 0.563646 0.863792 0.517557 0.61949 0.858192 64 126
P 10 0 0.728757 0.867226 0.494433 0.743728 0.928692 0.541253 52 94
P 11 0 0.839147 0.775976 0.572325 0.876473 0.707772 0.576858 140 152
P 12 0 0.869077 0.643364 0.438262 0.869266 0.705203 0.48686 60 176
P 13 0 0.697101 0.605797 0.882262 0.767534 0.646788 0.888809 190 41
P 14 0 0.850722 0.668778 0.326962 0.879184 0.693813 0.258696 175 97
P 15 0 0.482975 0.491026 0.407605 0.539393 0.536254 0.442891 154 146
P 16 0 0.843205 0.688494 0.59071 0.800472 0.628375 0.620386 152 93
P 17 0 0.797297 0.687821 0.316515 0.826811 0.643486 0.373546 97 83
P 18 0 0.896405 0.711045 0.421053 0.856082 0.647719 0.443301 197 60
P 19 0 0.778654 0.590375 0.925455 0.722196 0.548146 0.941325 117 196
P 20 0 0.724931 0.867558 0.493954 0.659861 0.901322 0.460443 52 25
P 21 0 0.845637 0.856791 0.17843 0.905674 0.814459 0.14541 95 170
P 22 0 0.649053 0.919547 0.543469 0.671437 0.872209 0.487264 157 52
P 23 0 0.835976 0.857905 0.507843 0.792256 0.89625 0.559603 52 94
P 24 0 0.763193 0.656342 0.302594 0.710025 0.635518 0.247227 150 184
P 25 0 0.838425 0.822344 0.578362 0.85989 0.787988 0.509163 101 33
P 26 0 0.873366 0.641927 0.4366 0.895822 0.641988 0.514769 60 22
P 27 0 0.746987 0.700956 0.781859 0.756507 0.637774 0.732182 29 38
P 28 0 0.745866 0.789252 0.615172 0.670023 0.774842 0.599477 179 54
P 29 0 0.579961 0.668709 0.49817 0.525565 0.604588 0.498673 118 80
P 30 0 0.846832 0.641549 0.355701 0.865115 0.675144 0.290855 83 173
P 31 0 0.517786 0.5396 0.862173 0.453192 0.557562 0.909173 133 70
P 32 0 0.464954 0.578713 0.952089 0.434142 0.653277 0.960476 39 133
P 33 0 0.874501 0.693471 0.262002 0.819686 0.637969 0.271264 97 173
P 34 0 0.769264 0.493869 0.0680936 0.814866 0.534771 0.0163681 199 117
P 35 0 0.858087 0.64046 0.345669 0.819149 0.692592 0.386521 83 150
P 36 0 0.801794 0.814072 0.55608 0.868072 0.845565 0.588271 140 94
P 37 0 0.14888 0.300373 0.246434 0.194864 0.289529 0.311117 14 166
P 38 0 0.864666 0.54444 0.00801434 0.787918 0.57445 -0.00732461 15 91
P 39 0 0.749566 0.645399 0.20295 0.69687 0.608202 0.240052 3 184
P 40 0 0.512161 0.599831 0.596192 0.555977 0.578963 0.531806 59 98
P 41 0 0.767281 0.849051 0.572627 0.740126 0.790388 0.528474 101 157
P 42 0 0.81219 0.638294 0.58006 0.860852 0.69872 0.583362 96 152
P 43 0 0.520093 0.641001 0.846022 0.533589 0.650807 0.770484 126 110
P 44 0 0.363835 0.627466 -0.0102639 0.439153 0.620114 0.0121672 16 39
P 45 0 0.832999 0.506927 0.0618923 0.858744 0.529104 -0.0105433 117 15
P 46 0 0.713252 0.681971 0.580521 0.702336 0.699244 0.502906 142 60
P 47 0 0.755751 0.637692 0.732824 0.744007 0.701548 0.769136 38 29
P 48 0 0.726143 0.542848 0.942925 0.714996 0.618175 0.966336 196 161
P 49 0 0.205394 0.264036 0.391956 0.239276 0.333202 0.414601 135 163
P 50 0 0.470293 0.570146 0.939657 0.505749 0.555959 0.87632 39 133
P 51 0 0.731847 0.713405 0.0816176 0.776978 0.77926 0.0700183 194 66
P 52 0 0.820288 0.689504 0.300282 0.82294 0.612787 0.320717 97 175
P 53 0 0.903668 0.685266 0.394158 0.85472 0.676836 0.327861 197 175
P 54 0 0.67706 0.672766 0.442664 0.721757 0.628531 0.485038 183 114
P 55 0 0.811072 0.631138 0.583769 0.755552 0.673948 0.6112 96 78
P 56 0 0.71738 0.694203 0.497073 0.759221 0.731757 0.434035 60 183
P 57 0 0.104606 0.194885 0.230168 0.101704 0.120845 0.201486 99 123
P 58 0 0.526583 0.883645 0.654063 0.549683 0.809577 0.635462 148 121
P 59 0 0.830824 0.690275 0.292843 0.803347 0.682355 0.36282 97 150
P 60 0 0.676553 0.566891 0.530165 0.665332 0.609063 0.467378 98 114
P 61 0 0.66304 0.735331 0.57419 0.727901 0.753437 0.534179 179 164
P 62 0 0.293975 0.120704 0.44115 0.297589 0.182373 0.490378 174 135
P 63 0 0.841657 0.857411 0.508553 0.889867 0.806951 0.47227 52 33
P 64 0 0.874693 0.700076 0.489265 0.822598 0.658941 0.456282 176 60
P 65 0 0.730991 0.587705 0.892623 0.721521 0.610758 0.966362 190 161
